route_id,agency_id,direction_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,direction_name
231,0,1,231,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/231,7E4082,FFFFFF,Saint-Nicolas - Village
232,0,0,232,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/232,7E4082,FFFFFF,Saint-Romuald - Juvénat Notre-Dame
232,0,1,232,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/232,7E4082,FFFFFF,Presqu'Île / Saint-Nicolas - Roc-Pointe
235,0,0,235,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/235,7E4082,FFFFFF,UQAR / Lévis centre
235,0,1,235,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/235,7E4082,FFFFFF,Saint-Nicolas - Roc-Pointe
24,0,0,24,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/24,4EA685,FFFFFF,PRB des Rivières
24,0,1,24,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/24,4EA685,FFFFFF,Saint-Rédempteur
24E,0,0,24E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/24E,FFA400,FFFFFF,Sainte-Foy centre
24E,0,1,24E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/24E,FFA400,FFFFFF,Saint-Rédempteur
241,0,0,241,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/241,7E4082,FFFFFF,Saint-Romuald - Juvénat Notre-Dame
241,0,1,241,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/241,7E4082,FFFFFF,Saint-Rédempteur
242,0,0,242,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/242,7E4082,FFFFFF,Saint-Romuald - Juvénat Notre-Dame
242,0,1,242,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/242,7E4082,FFFFFF,Saint-Rédempteur
245,0,0,245,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/245,7E4082,FFFFFF,UQAR / Lévis centre
245,0,1,245,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/245,7E4082,FFFFFF,Saint-Rédempteur
246,0,0,246,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/246,7E4082,FFFFFF,UQAR / Lévis centre
246,0,1,246,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/246,7E4082,FFFFFF,Saint-Rédempteur
31,0,1,31,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/31,0091B3,FFFFFF,Breakeyville / Station de la Concorde
311,0,0,311,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/311,7E4082,FFFFFF,Saint-Romuald - Juvénat Notre-Dame
311,0,1,311,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/311,7E4082,FFFFFF,Saint-Jean-Chrysostome / Breakeyville
325,0,0,325,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/325,7E4082,FFFFFF,Lévis centre
325,0,1,325,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/325,7E4082,FFFFFF,Saint-Romuald
34,0,0,34,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/34,0091B3,FFFFFF,Station de la Concorde
34,0,1,34,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/34,0091B3,FFFFFF,Saint-Romuald
345,0,0,345,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/345,7E4082,FFFFFF,Lévis centre
345,0,1,345,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/345,7E4082,FFFFFF,Saint-Romuald
34E,0,0,34E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/34E,FFA400,FFFFFF,Sainte-Foy centre
34E,0,1,34E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/34E,FFA400,FFFFFF,Saint-Romuald
35,0,1,35,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/35,0091B3,FFFFFF,Charny via de l'Eau-Vive / Station de la Concorde
351,0,0,351,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/351,7E4082,FFFFFF,Saint-Romuald - Juvénat Notre-Dame
351,0,1,351,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/351,7E4082,FFFFFF,Charny
355,0,0,355,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/355,7E4082,FFFFFF,Lévis centre
355,0,1,355,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/355,7E4082,FFFFFF,Charny
36,0,0,36,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/36,0091B3,FFFFFF,Charny via du C.-Hospitalier / Station de la Concorde
36E,0,0,36E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/36E,FFA400,FFFFFF,Sainte-Foy centre
36E,0,1,36E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/36E,FFA400,FFFFFF,Charny
37,0,1,37,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/37,0091B3,FFFFFF,St-Jean-Chrysostome via Taniata / Station Taniata
375,0,0,375,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/375,7E4082,FFFFFF,UQAR / Lévis centre
375,0,1,375,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/375,7E4082,FFFFFF,Saint-Jean-Chrysostome
37E,0,0,37E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/37E,FFA400,FFFFFF,Sainte-Foy centre
37E,0,1,37E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/37E,FFA400,FFFFFF,Saint-Jean-Chrysostome via Taniata
38,0,0,38,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/38,0091B3,FFFFFF,St-Jean-Chrysostome via Vanier / Station Taniata
381,0,0,381,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/381,7E4082,FFFFFF,Saint-Romuald - Juvénat Notre-Dame
381,0,1,381,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/381,7E4082,FFFFFF,Saint-Jean-Chrysostome / Breakeyville
385,0,0,385,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/385,7E4082,FFFFFF,UQAR / Lévis centre
385,0,1,385,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/385,7E4082,FFFFFF,Saint-Jean-Chrysostome
38E,0,0,38E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/38E,FFA400,FFFFFF,Sainte-Foy centre
38E,0,1,38E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/38E,FFA400,FFFFFF,Saint-Jean-Chrysostome via Vanier
39,0,0,39,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/39,4EA685,FFFFFF,Station de la Concorde
