route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
11,71,387549,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,88,63367_1426785_1426878,1
11,71,387550,Terminus de la Traverse / Hôtel-Dieu de Lévis / Lauzon / UQAR,,0,88,63367_1426785_1426878,1
L2,71,387551,Sainte-Foy centre,,0,88,63196_1409683_1409740,1
L2,71,387552,Terminus de la Traverse,,1,88,63197_1425679_1425741,1
L3,71,387555,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,89,63202_1424833_1424888,1
L3,71,387556,Terminus Lagueux via Station de la Concorde (hors-pointe/soir/fin de sem.),,1,89,63203_1425446_1425506,1
34,71,387558,Saint-Romuald,,1,89,62273_1424429_1424466,2
11A,71,387561,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,90,63360_1424033_1424127,1
11A,71,387562,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,90,63360_1424033_1424127,1
11A,71,387563,Terminus de la Traverse / UQAR / Lauzon / Hôtel-Dieu de Lévis,,1,90,63360_1424033_1424127,1
L3,71,387566,Sainte-Foy centre via Station de la Concorde (hors-pointe/soir/fin de sem.),,0,91,63202_1424833_1424888,1
L3,71,387567,Terminus Lagueux,,1,91,63199_1425963_1426021,1
L3,71,387568,Sainte-Foy centre via Parc industriel de Bernières-Sud (pointe PM),,0,91,63200_1425038_1425093,1
38E,71,387569,Saint-Jean-Chrysostome via Vanier,,1,91,62304_1425742_1425823,2
L2,71,387572,Sainte-Foy centre,,0,92,63196_1409683_1409740,1
L2,71,387573,Terminus de la Traverse,,1,92,63197_1425679_1425741,1
L2,71,387574,Sainte-Foy centre,,0,92,63196_1409683_1409740,1
L2,71,387575,Terminus de la Traverse,,1,92,63197_1425679_1425741,1
L2,71,387578,Sainte-Foy centre,,0,93,63196_1409683_1409740,1
L2,71,387579,Terminus de la Traverse,,1,93,63197_1425679_1425741,1
