route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FEQ,0,FEQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/FEQ,C00000,FFFFFF
HONC,0,HONC,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/HONC,C00000,FFFFFF
L1,0,L1,Lévisien 1,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L1,4EA685,FFFFFF
L2,0,L2,Lévisien 2,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L2,1E4289,FFFFFF
L3,0,L3,Lévisien 3,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L3,1E4289,FFFFFF
L4,0,L4,Lévisien 4,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/L4,4EA685,FFFFFF
PAQ,0,PAQ,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/PAQ,C00000,FFFFFF
RIVN,0,RIVN,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/RIVN,C00000,FFFFFF
T1,0,T1,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T1,A47400,FFFFFF
T15,0,T15,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T15,A47400,FFFFFF
T2,0,T2,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T2,A47400,FFFFFF
T22,0,T22,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T22,A47400,FFFFFF
T31,0,T31,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T31,A47400,FFFFFF
T65,0,T65,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T65,A47400,FFFFFF
T66,0,T66,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/T66,A47400,FFFFFF
UQAR,0,UQAR,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/UQAR,C00000,FFFFFF
